name,type,n_vars,n_clauses,expected_difficulty,bf_result,bf_checks,bf_time,basic_rsac_result,basic_rsac_checks,basic_rsac_time,hybrid_rsac_result,hybrid_rsac_checks,hybrid_rsac_time,vars_eliminated,clauses_eliminated,best_signature_method,best_signature_checks,basic_speedup,hybrid_speedup,signature_speedup
structured_sat_10v,structured_sat,10,28,easy,SAT,46,0.0001697540283203125,SAT,330,0.024481534957885742,SAT,332,0.11599397659301758,0,0,chaos_map,139.0,0.1393939393939394,0.13855421686746988,0.33093525179856115
structured_sat_12v,structured_sat,12,33,easy,SAT,10,0.00011467933654785156,SAT,5,0.11127233505249023,SAT,55,0.004761457443237305,2,11,fractal,33.0,2.0,0.18181818181818182,0.30303030303030304
structured_sat_14v,structured_sat,14,39,easy,SAT,9379,0.02924633026123047,SAT,585,0.5576438903808594,SAT,435,1.973616123199463,0,1,,,16.032478632478632,21.560919540229886,
structured_sat_16v,structured_sat,16,44,easy,SAT,494,0.002220630645751953,SAT,305,2.7104063034057617,SAT,1444,0.06088900566101074,2,9,,,1.619672131147541,0.34210526315789475,
phase_transition_10v,phase_transition,10,42,hard,SAT,510,0.0021543502807617188,SAT,316,0.021922826766967773,SAT,446,0.042960166931152344,0,0,digital_root,446.0,1.6139240506329113,1.1434977578475336,1.1434977578475336
phase_transition_12v,phase_transition,12,51,hard,SAT,346,0.0013661384582519531,SAT,908,0.11323046684265137,SAT,1377,0.5179858207702637,0,0,fractal,618.0,0.381057268722467,0.2512708787218591,0.5598705501618123
phase_transition_14v,phase_transition,14,59,hard,SAT,3109,0.010915517807006836,SAT,1271,0.5703203678131104,SAT,1575,0.06215238571166992,0,1,,,2.4461054287962236,1.973968253968254,
phase_transition_16v,phase_transition,16,68,hard,UNSAT,65536,0.24960994720458984,UNSAT,65536,3.0641562938690186,UNSAT,65536,9.023233890533447,0,1,,,1.0,1.0,
backdoor_12v,backdoor,12,36,medium,UNSAT,4096,0.012264728546142578,UNSAT,4096,0.1301403045654297,UNSAT,128,0.021831512451171875,5,17,digital_root,4096.0,1.0,32.0,1.0
backdoor_14v,backdoor,14,42,medium,SAT,2051,0.004886627197265625,SAT,19,0.5186476707458496,SAT,9,0.018030166625976562,6,20,,,107.94736842105263,227.88888888888889,
backdoor_16v,backdoor,16,48,medium,UNSAT,65536,0.24912190437316895,UNSAT,65536,2.96415376663208,UNSAT,1024,0.053006887435913086,6,19,,,1.0,64.0,
crafted_hard_10v,crafted_hard,10,35,hard,SAT,617,0.0019252300262451172,SAT,385,0.021506547927856445,SAT,245,0.01792168617248535,0,0,cellular_automata,82.0,1.6025974025974026,2.5183673469387755,7.524390243902439
crafted_hard_12v,crafted_hard,12,42,hard,SAT,992,0.003111600875854492,SAT,748,0.11459684371948242,SAT,758,0.055402517318725586,0,4,chaos_map,596.0,1.3262032085561497,1.3087071240105541,1.6644295302013423
crafted_hard_14v,crafted_hard,14,49,hard,SAT,6134,0.022057533264160156,SAT,128,0.5501680374145508,SAT,110,0.008471965789794922,0,1,,,47.921875,55.763636363636365,
planted_solution_12v,planted_solution,12,42,medium,SAT,1,4.1484832763671875e-05,SAT,1,0.10475397109985352,SAT,0,0.00014972686767578125,0,0,digital_root,1.0,1.0,,1.0
planted_solution_14v,planted_solution,14,49,medium,SAT,273,0.0012249946594238281,SAT,211,0.5464956760406494,SAT,0,0.0002567768096923828,0,0,,,1.2938388625592416,,
planted_solution_16v,planted_solution,16,56,medium,SAT,8330,0.03420114517211914,SAT,31,2.7363088130950928,SAT,0,0.0002999305725097656,0,0,,,268.7096774193548,,
